projectID|name|shortName|SME|activityType|city|country|organizationURL|contactForm|order|role|ecContribution
101226563|UNIVERSITY OF GHANA|UNIVERSITY OF GHANA|False|HES|LEGON ACCRA|GH|https://www.ug.edu.gh|https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999878911/101226563|3|participant|800250.0
101226563|STICHTING VU||False|HES|Amsterdam|NL|http://www.vu.nl|https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/954530344/101226563|6|participant|262500.0
101226563|LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE||False|HES|London|UK|http://www.lse.ac.uk|https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999861063/101226563|7|participant|220756.25
101226563|KOBENHAVNS UNIVERSITET|UCPH|False|HES|KOBENHAVN|DK|http://www.ku.dk|https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991043/101226563|2|participant|146875.0
101226563|LIRA UNIVERSITY||False|HES|Lira|UG||https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/915614914/101226563|5|participant|614243.75
101226563|AFRICAN POPULATION & HEALTH RESEARCH CENTRE KENYA|APHRC|False|REC|Nairobi|KE||https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/989560051/101226563|4|participant|922500.0
101226563|STICHTING AMSTERDAM UMC||False|REC|Amsterdam|NL|http://www.vumc.nl|https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/919322739/101226563|1|coordinator|1032875.0
101180091|FUGRO BELGIUM SRL|FUGRO|False|PRC|Louvain La Neuve|BE||https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/891337463/101180091|3|participant|258125.0
101180091|FUGRO INNOVATION & TECHNOLOGY BV||False|PRC|NOOTDORP|NL||https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/945413314/101180091|5|participant|490625.0
101180091|EOMAP GMBH & CO KG|EOMAP|True|PRC|Seefeld|DE|https://www.eomap.de|https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/997332079/101180091|1|coordinator|833500.0
101180091|Maldives Space Research Organisation|MSRO|True|REC|Male|MV||https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/879319551/101180091|4|participant|140737.5
101180091|Philipp Rene Schubert|SUBMARIS||PRC||DE||https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/894243583/101180091|2|participant|249000.0
101138807|FRAUNHOFER ITALIA RESEARCH SCARL|FHI|False|REC|Bolzano|IT|https://www.fraunhofer.it/|https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/970864368/101138807|5|participant|366898.44
101138807|FUNDACION TEKNIKER|TEKNIKER|False|REC|Eibar Guipuzcoa|ES|http://www.tekniker.es|https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999959227/101138807|1|coordinator|1214875.0
